,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_Perc_Change,Trend
0,2019-10-24,139.94,139.14,140.4,138.69,37280000,10,2019,0.0,Slight or No change
1,2019-10-23,137.24,136.88,137.45,135.61,31380000,10,2019,-1.9293983135629467,Negative
2,2019-10-22,136.37,138.97,140.01,136.26,27940000,10,2019,-0.6339259691052201,Slight negative
3,2019-10-21,138.43,138.45,138.5,137.01,20720000,10,2019,1.5105961721786354,Positive
4,2019-10-18,137.41,139.76,140.0,136.56,32280000,10,2019,-0.7368345011919408,Slight negative
5,2019-10-17,139.69,140.95,141.42,139.02,22100000,10,2019,1.6592678844334463,Positive
6,2019-10-16,140.41,140.79,140.99,139.53,20840000,10,2019,0.5154270169661412,Slight positive
7,2019-10-15,141.57,140.06,141.79,139.81,19920000,10,2019,0.8261519834769526,Slight positive
8,2019-10-14,139.55,139.69,140.29,139.52,13590000,10,2019,-1.4268559723105034,Negative
9,2019-10-11,139.68,140.12,141.03,139.5,25550000,10,2019,0.09315657470441163,Slight or No change
10,2019-10-10,139.1,138.49,139.67,138.25,18400000,10,2019,-0.4152348224513269,Slight or No change
11,2019-10-09,138.24,137.46,138.7,136.97,20180000,10,2019,-0.6182602444284591,Slight negative
12,2019-10-08,135.67,137.08,137.76,135.62,26780000,10,2019,-1.8590856481481621,Negative
13,2019-10-07,137.12,137.14,138.18,137.02,16600000,10,2019,1.0687698090956044,Positive
14,2019-10-04,138.12,136.75,138.25,136.42,23840000,10,2019,0.7292882147024393,Slight positive
15,2019-10-03,136.28,134.95,136.75,133.22,26380000,10,2019,-1.3321749203591082,Negative
16,2019-10-02,134.65,136.25,136.37,133.58,32000000,10,2019,-1.1960669210449026,Negative
17,2019-10-01,137.07,139.66,140.25,137.0,22580000,10,2019,1.7972521351652393,Positive
18,2019-09-30,139.03,138.05,139.22,137.78,18430000,9,2019,1.4299263150215236,Positive
19,2019-09-27,137.73,140.15,140.36,136.65,22500000,9,2019,-0.9350499892109676,Slight negative
20,2019-09-26,139.54,139.44,140.18,138.44,17810000,9,2019,1.3141653960647703,Positive
21,2019-09-25,139.36,137.5,139.96,136.03,22540000,9,2019,-0.1289952701734154,Slight or No change
22,2019-09-24,137.38,140.36,140.69,136.88,30020000,9,2019,-1.4207807118254978,Negative
23,2019-09-23,139.14,139.23,139.63,138.44,17410000,9,2019,1.2811180666763677,Positive
24,2019-09-20,139.44,141.01,141.65,138.25,40040000,9,2019,0.21561017680036265,Slight or No change
25,2019-09-19,141.07,140.3,142.37,140.07,36100000,9,2019,1.1689615605278147,Positive
26,2019-09-18,138.52,137.36,138.67,136.53,24470000,9,2019,-1.8076132416530721,Negative
27,2019-09-17,137.39,136.96,137.52,136.43,17980000,9,2019,-0.8157666762922511,Slight negative
