Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Oct 24, 2019",139.94,139.14,140.4,138.69,37.28M
"Oct 23, 2019",137.24,136.88,137.45,135.61,31.38M
"Oct 22, 2019",136.37,138.97,140.01,136.26,27.94M
"Oct 21, 2019",138.43,138.45,138.5,137.01,20.72M
"Oct 18, 2019",137.41,139.76,140.0,136.56,32.28M
"Oct 17, 2019",139.69,140.95,141.42,139.02,22.10M
"Oct 16, 2019",140.41,140.79,140.99,139.53,20.84M
"Oct 15, 2019",141.57,140.06,141.79,139.81,19.92M
"Oct 14, 2019",139.55,139.69,140.29,139.52,13.59M
"Oct 11, 2019",139.68,140.12,141.03,139.5,25.55M
"Oct 10, 2019",139.1,138.49,139.67,138.25,18.40M
"Oct 09, 2019",138.24,137.46,138.7,136.97,20.18M
"Oct 08, 2019",135.67,137.08,137.76,135.62,26.78M
"Oct 07, 2019",137.12,137.14,138.18,137.02,16.60M
"Oct 04, 2019",138.12,136.75,138.25,136.42,23.84M
"Oct 03, 2019",136.28,134.95,136.75,133.22,26.38M
"Oct 02, 2019",134.65,136.25,136.37,133.58,32.00M
"Oct 01, 2019",137.07,139.66,140.25,137.0,22.58M
"Sep 30, 2019",139.03,138.05,139.22,137.78,18.43M
"Sep 27, 2019",137.73,140.15,140.36,136.65,22.50M
"Sep 26, 2019",139.54,139.44,140.18,138.44,17.81M
"Sep 25, 2019",139.36,137.5,139.96,136.03,22.54M
"Sep 24, 2019",137.38,140.36,140.69,136.88,30.02M
"Sep 23, 2019",139.14,139.23,139.63,138.44,17.41M
"Sep 20, 2019",139.44,141.01,141.65,138.25,40.04M
"Sep 19, 2019",141.07,140.3,142.37,140.07,36.10M
"Sep 18, 2019",138.52,137.36,138.67,136.53,24.47M
"Sep 17, 2019",137.39,136.96,137.52,136.43,17.98M
"Sep 16, 2019",136.33,135.83,136.7,135.66,16.73M
"Sep 13, 2019",137.32,137.78,138.06,136.57,23.36M
"Sep 12, 2019",137.52,137.85,138.42,136.87,27.01M
"Sep 11, 2019",136.12,135.91,136.27,135.09,24.73M
"Sep 10, 2019",136.08,136.8,136.89,134.51,28.90M
"Sep 09, 2019",137.52,139.59,139.75,136.46,25.77M
"Sep 06, 2019",139.1,140.03,140.18,138.2,20.82M
"Sep 05, 2019",140.05,139.11,140.38,138.76,26.12M
"Sep 04, 2019",137.63,137.3,137.69,136.48,18.02M
"Sep 03, 2019",136.04,136.61,137.2,135.7,18.88M
"Aug 30, 2019",137.86,139.15,139.18,136.27,23.95M
"Aug 29, 2019",138.12,137.25,138.44,136.91,20.18M
"Aug 28, 2019",135.56,134.88,135.76,133.55,17.41M
"Aug 27, 2019",135.74,136.39,136.72,134.66,23.12M
"Aug 26, 2019",135.45,134.99,135.56,133.9,20.33M
"Aug 23, 2019",133.39,137.19,138.35,132.8,38.52M
